horodatage,nom_entreprise,secteur,email_contact,Q1,Q2,Q3,Q4,Q5
2026-08-28T08:40:51,atlas,IT,lahcen@gmail.com,2,3,4,1,2
2026-08-28T08:47:17,orange,reseau,orange@gmail.com,3,3,3,2,1
2026-08-28T09:09:37,orange,reseau,orange@gmail.com,3,3,3,2,1
2026-08-28T09:32:24,lahcentec,IT,clay@gmail.com,1,1,1,1,1
2026-08-29T08:46:07,lahcen,IT,ouahzizi@gmail.com,3,2,2,4,1
2026-08-29T08:50:28,lahcen,IT,ouahzizi@gmail.com,3,2,2,4,1
2026-08-29T08:53:25,lahcen,IT,ouahzizi@gmail.com,1,4,3,2,3
2026-08-29T09:01:08,lahcen,IT,ouahzizi@gmail.com,1,4,3,2,3
2026-08-29T11:26:30,albatros,agriculture,albatros@entreprise.com,1,1,1,1,1
2026-08-29T11:26:48,albatros,agriculture,albatros@entreprise.com,2,2,2,2,2
2026-08-29T21:48:20,lahcen,IT,la@clay.com,3,4,2,1,3
2026-09-13T13:18:56,atlas,IT,la@clay.com,1,1,1,1,1
2026-09-13T13:53:01,albertdata,DATA,albert@data.ma,2,3,3,3,4
2026-09-13T15:12:32,oka,il,ol@gmail.com,1,1,1,1,1
2026-09-14T10:02:44,festec,IT,festec123@gmail.com,1,1,1,1,1
2026-09-14T12:18:59,lahcen,bilogique,lahcen@bio.com,3,4,1,2,3
